OPCS	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
A01	1	1	1	turquoise
A02	1	1	1	turquoise
A03	1	1	1	turquoise
A04	1	1	1	turquoise
A05	2	2	1	turquoise
A06	1	1	1	turquoise
A07	3	3	1	turquoise
A08	1	1	1	turquoise
A09	4	4	1	turquoise
A10	3	3	1	turquoise
A11	3	3	1	turquoise
A12	3	5	1	turquoise
A13	3	5	1	turquoise
A14	3	5	1	turquoise
A16	3	5	1	turquoise
A17	3	5	1	turquoise
A18	3	5	1	turquoise
A20	3	5	1	turquoise
A22	3	5	1	turquoise
A24	5	6	1	turquoise
A25	6	6	1	turquoise
A26	6	6	1	turquoise
A27	7	7	1	turquoise
A28	6	6	1	turquoise
A29	5	6	1	turquoise
A30	6	6	1	turquoise
A31	6	6	1	turquoise
A32	6	6	1	turquoise
A33	4	4	1	turquoise
A34	6	6	1	turquoise
A36	6	6	1	turquoise
A39	8	8	1	turquoise
A40	2	2	1	turquoise
A41	2	2	1	turquoise
A42	8	8	1	turquoise
A43	8	8	1	turquoise
A44	9	9	1	turquoise
A45	9	9	1	turquoise
A47	9	9	1	turquoise
A48	9	9	1	turquoise
A49	9	9	1	turquoise
A51	9	9	1	turquoise
A52	10	10	1	turquoise
A53	10	2	1	turquoise
A54	10	10	1	turquoise
A55	10	10	1	turquoise
A57	11	7	1	turquoise
A59	5	7	1	turquoise
A60	11	7	1	turquoise
A61	11	7	1	turquoise
A62	5	7	1	turquoise
A63	5	7	1	turquoise
A64	5	7	1	turquoise
A65	11	7	1	turquoise
A66	11	7	1	turquoise
A67	11	7	1	turquoise
A68	11	7	1	turquoise
A69	11	7	1	turquoise
A70	4	4	1	turquoise
A73	11	7	1	turquoise
A75	12	11	1	turquoise
A76	12	11	1	turquoise
A77	12	11	1	turquoise
A78	12	11	1	turquoise
A79	12	11	1	turquoise
A82	13	12	1	turquoise
A83	14	3	1	turquoise
A84	13	12	1	turquoise
B01	15	13	1	turquoise
B02	15	13	1	turquoise
B04	15	13	1	turquoise
B06	15	13	1	turquoise
B08	16	14	1	turquoise
B09	16	14	1	turquoise
B10	16	14	1	turquoise
B12	16	14	1	turquoise
B14	17	15	1	turquoise
B16	17	15	1	turquoise
B17	18	16	1	turquoise
B18	18	16	1	turquoise
B20	18	16	1	turquoise
B22	19	17	1	turquoise
B23	19	17	1	turquoise
B25	19	17	1	turquoise
B27	20	18	0	grey
B28	20	18	0	grey
B29	20	19	0	grey
B30	21	20	0	grey
B31	20	19	0	grey
B32	20	18	0	grey
B33	20	21	0	grey
B34	20	21	0	grey
B35	20	21	0	grey
B36	20	19	0	grey
B37	20	21	0	grey
B38	20	19	0	grey
B39	20	19	0	grey
B40	20	21	0	grey
B41	20	18	0	grey
C01	22	22	1	turquoise
