,SNOMED_id,OPCS
0,171442008,A01
1,14247003,A01.1
2,171443003,A01.2
3,67402009,A01.3
4,129304002,A01.8
5,171442008,A01.8
6,280369009,A01.8
9,171442008,A01.9
10,171446006,A02
11,171447002,A02.1
12,171448007,A02.2
13,171449004,A02.3
14,171450004,A02.4
15,171451000,A02.5
16,427599009,A02.6
17,905651000000107,A02.7
18,129304002,A02.8
19,171446006,A02.8
20,12738006,A02.8
21,52988006,A02.8
24,171446006,A02.9
25,171454008,A03
26,171455009,A03.1
27,171457001,A03.2
28,171458006,A03.3
29,171459003,A03.4
30,171454008,A03.8
31,280369009,A03.8
32,257729003,A03.8
33,262182009,A03.8
36,171454008,A03.9
37,698880007,A04
38,171463005,A04.1
39,171464004,A04.2
40,171465003,A04.3
41,171466002,A04.4
42,171467006,A04.5
43,171468001,A04.6
44,129236007,A04.8
45,171462000,A04.8
46,280369009,A04.8
47,360028004,A04.8
48,52988006,A04.8
51,171462000,A04.9
52,171471009,A05
53,171472002,A05.1
54,171473007,A05.2
55,171474001,A05.3
56,10458001,A05.4
57,105590001,A05.8
58,129289008,A05.8
59,171471009,A05.8
60,280369009,A05.8
61,52988006,A05.8
64,171471009,A05.9
65,171446006,A06
66,904371000000105,A06.1
67,904411000000109,A06.2
68,905981000000107,A06.3
69,905671000000103,A06.4
70,129304002,A06.8
71,12738006,A06.8
72,807005,A06.8
75,807005,A06.9
76,70586009,A07
77,129298006,A07.1
78,21551002,A07.1
79,280369009,A07.1
82,1868005,A07.2
83,39704007,A07.3
84,230838000,A07.4
85,429510003,A07.5
86,427037000,A07.6
87,429314008,A07.7
88,129284003,A07.8
89,12738006,A07.8
90,70586009,A07.8
93,70586009,A07.9
94,230842002,A08
95,129314006,A08.1
96,83251001,A08.1
97,52988006,A08.1
98,450607005,A08.1
101,129314006,A08.2
102,78277001,A08.2
103,52988006,A08.2
104,450603009,A08.2
107,16630005,A08.3
108,129314006,A08.3
109,52988006,A08.3
110,450605002,A08.3
113,129314006,A08.4
114,31065004,A08.4
115,52988006,A08.4
116,450604003,A08.4
119,113305005,A08.5
120,129314006,A08.5
121,52988006,A08.5
122,450600007,A08.5
125,129314006,A08.6
126,15926001,A08.6
127,52988006,A08.6
128,450601006,A08.6
131,129314006,A08.8
132,230842002,A08.8
133,280369009,A08.8
136,230842002,A08.9
137,271406004,A09
138,35797001,A09.1
139,171495006,A09.2
140,171496007,A09.3
141,118885003,A09.4
142,12738006,A09.4
145,35797001,A09.5
146,129272000,A09.8
147,280369009,A09.8
148,25937001,A09.8
149,271406004,A09.8
152,271406004,A09.9
153,70586009,A10
154,13666002,A10.1
155,307292005,A10.2
156,171502001,A10.3
157,307291003,A10.4
158,129284003,A10.5
159,12738006,A10.5
160,70586009,A10.5
163,428740009,A10.6
164,429584001,A10.7
165,129284003,A10.8
166,12738006,A10.8
167,70586009,A10.8
170,70586009,A10.9
171,70586009,A11
172,441597006,A11.1
173,441617000,A11.2
174,377451000000100,A11.3
175,448759001,A11.4
176,70586009,A11.8
177,70586009,A11.9
178,171510000,A12
179,265218003,A12.1
180,82762009,A12.2
181,27613000,A12.3
182,47020004,A12.4
183,171514009,A12.5
184,171510000,A12.8
185,360021005,A12.8
186,35764002,A12.8
189,171510000,A12.9
190,265220000,A13
191,171518007,A13.1
192,171519004,A13.2
193,171520005,A13.3
194,171522002,A13.4
195,129284003,A13.8
196,258593008,A13.8
197,265220000,A13.8
198,360147003,A13.8
199,35764002,A13.8
202,265220000,A13.9
203,307546008,A14
204,16900000,A14.1
205,72912002,A14.2
206,265221001,A14.3
207,6737003,A14.4
208,450335000,A14.5
209,302325008,A14.8
210,258593008,A14.8
213,302325008,A14.9
214,307546008,A16
215,105590001,A16.1
216,230869001,A16.1
217,257811002,A16.1
218,35764002,A16.1
221,129284003,A16.8
222,307546008,A16.8
223,35764002,A16.8
226,307546008,A16.9
227,265223003,A17
228,171540003,A17.1
229,441763001,A17.2
230,129284003,A17.8
231,262202000,A17.8
232,265223003,A17.8
233,35764002,A17.8
234,423705006,A17.8
237,265223003,A17.9
238,171543001,A18
239,171544007,A18.1
240,129433002,A18.8
241,171543001,A18.8
242,281615006,A18.8
243,280369009,A18.8
244,35764002,A18.8
245,423705006,A18.8
248,171543001,A18.9
249,307546008,A20
250,105590001,A20.1
251,230869001,A20.1
252,257811002,A20.1
253,35764002,A20.1
256,171549002,A20.2
257,171550002,A20.3
258,129284003,A20.8
259,307546008,A20.8
260,35764002,A20.8
263,307546008,A20.9
264,171553000,A22
265,171554006,A22.1
266,35436006,A22.2
267,83262001,A22.3
268,129284003,A22.8
269,171553000,A22.8
270,280371009,A22.8
271,33930006,A22.8
274,171553000,A22.9
275,37983004,A24
276,171562003,A24.1
277,171563008,A24.2
278,450576005,A24.3
279,450336004,A24.4
280,450337008,A24.5
281,230973004,A24.6
282,129407005,A24.8
283,25238003,A24.8
284,37983004,A24.8
287,37983004,A24.9
288,171570008,A25
289,171571007,A25.1
290,171572000,A25.2
291,171575003,A25.3
292,171577006,A25.4
293,171578001,A25.5
294,171579009,A25.6
295,171580007,A25.7
296,171570008,A25.8
297,25238003,A25.8
298,425764006,A25.8
301,171570008,A25.9
302,230952004,A26
303,171596005,A26.1
304,171597001,A26.2
305,265227002,A26.3
306,171601001,A26.4
307,171602008,A26.5
308,171603003,A26.6
309,171604009,A26.7
310,129382001,A26.8
311,230952004,A26.8
312,279390002,A26.8
315,25238003,A26.8
316,230952004,A26.9
317,65310005,A27
318,15213007,A27.1
319,61667000,A27.2
320,61667000,A27.3
321,88882009,A27.8
322,65310005,A27.8
325,129298006,A27.8
326,65310005,A27.9
327,129382001,A28
328,230957005,A28
329,25238003,A28
332,307564001,A28.1
333,307563007,A28.2
334,129382001,A28.8
335,230957005,A28.8
336,25238003,A28.8
339,230957005,A28.9
340,49290005,A29
341,171609004,A29.1
342,171610009,A29.2
343,171614000,A29.3
344,171615004,A29.4
345,171616003,A29.5
346,171617007,A29.6
347,171618002,A29.7
348,129304002,A29.8
349,25238003,A29.8
350,49290005,A29.8
351,52988006,A29.8
354,49290005,A29.9
355,59580007,A30
356,171623002,A30.1
357,171624008,A30.2
358,171627001,A30.3
359,171628006,A30.4
360,171629003,A30.5
361,171630008,A30.6
362,171631007,A30.7
363,25238003,A30.8
364,257903006,A30.8
365,59580007,A30.8
368,59580007,A30.9
369,171636002,A31
370,171637006,A31.1
371,171638001,A31.2
372,171641005,A31.3
373,171642003,A31.4
374,171643008,A31.5
375,171644002,A31.6
376,171645001,A31.7
377,129299003,A31.8
378,171636002,A31.8
379,25238003,A31.8
380,410756002,A31.8
383,171636002,A31.9
384,85947008,A32
385,171652004,A32.1
386,171653009,A32.2
387,171656001,A32.3
388,265228007,A32.4
389,171658000,A32.5
390,171659008,A32.6
391,171660003,A32.7
392,25238003,A32.8
393,410756002,A32.8
394,85947008,A32.8
397,85947008,A32.9
398,171665008,A33
399,171666009,A33.1
400,25238003,A33.1
401,257867005,A33.1
402,360091001,A33.1
405,171667000,A33.2
406,171668005,A33.3
407,171666009,A33.4
408,129272000,A33.8
409,171665008,A33.8
410,25937001,A33.8
411,25238003,A33.8
414,171665008,A33.9
415,9087001,A34
416,171671002,A34.1
417,171673004,A34.2
418,171676007,A34.3
419,171677003,A34.4
420,171678008,A34.5
421,171679000,A34.6
422,171680002,A34.7
423,281615006,A34.8
424,25238003,A34.8
425,9087001,A34.8
428,9087001,A34.9
429,9469005,A36
430,867007,A36.1
431,75262005,A36.2
432,171687004,A36.3
433,426812002,A36.4
434,426444008,A36.5
435,129284003,A36.8
436,25238003,A36.8
437,9469005,A36.8
440,9469005,A36.9
441,171692002,A38
442,171693007,A38.1
443,171694001,A38.2
444,171695000,A38.3
445,171696004,A38.4
446,171697008,A38.5
447,171698003,A38.6
448,129306000,A38.8
449,171692002,A38.8
450,8935007,A38.8
451,52988006,A38.8
454,171692002,A38.9
455,66534009,A39
456,171702004,A39.1
457,171703009,A39.2
458,171704003,A39.3
459,171705002,A39.4
460,171706001,A39.5
461,257903006,A39.8
462,40111009,A39.8
463,8935007,A39.8
466,40111009,A39.9
467,171712006,A40
468,118441006,A40.1
469,118678004,A40.1
470,129292007,A40.1
471,25087005,A40.1
472,35566002,A40.1
475,105590001,A40.8
476,129289008,A40.8
477,171712006,A40.8
478,244436004,A40.8
