chap_clinic1	chap_clinic2	n_pairs	mean_dist
A Nerv Sys	A Nerv Sys	4624	0.621748792424372
A Nerv Sys	B Endocrine+Breast	2108	0.802386487022014
A Nerv Sys	C Eye	4828	0.79545878844168
A Nerv Sys	E Ear	1156	0.798420943512224
A Nerv Sys	E Respiratory	884	0.788177168441881
B Endocrine+Breast	A Nerv Sys	2108	0.802386487022014
B Endocrine+Breast	B Endocrine+Breast	961	0.641199580058192
B Endocrine+Breast	C Eye	2201	0.827502532287533
B Endocrine+Breast	E Ear	527	0.840047599792755
B Endocrine+Breast	E Respiratory	403	0.790074943823745
C Eye	A Nerv Sys	4828	0.79545878844168
C Eye	B Endocrine+Breast	2201	0.827502532287533
C Eye	C Eye	5041	0.64523257959373
C Eye	E Ear	1207	0.783061474121071
C Eye	E Respiratory	923	0.759351944340803
E Ear	A Nerv Sys	1156	0.798420943512224
E Ear	B Endocrine+Breast	527	0.840047599792755
E Ear	C Eye	1207	0.783061474121071
E Ear	E Ear	289	0.493998986152768
E Ear	E Respiratory	221	0.735884063213205
E Respiratory	A Nerv Sys	884	0.788177168441881
E Respiratory	B Endocrine+Breast	403	0.790074943823745
E Respiratory	C Eye	923	0.759351944340803
E Respiratory	E Ear	221	0.735884063213205
E Respiratory	E Respiratory	169	0.394661332510419
