OPCS	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
A01	1	1	1	turquoise
A02	1	1	1	turquoise
A03	1	2	1	turquoise
A04	2	3	1	turquoise
A05	3	4	0	grey
A06	1	1	1	turquoise
A07	4	5	1	turquoise
A08	2	1	1	turquoise
A09	5	6	1	turquoise
A10	4	5	1	turquoise
A11	4	5	1	turquoise
A12	6	7	1	turquoise
A13	6	7	1	turquoise
A14	6	7	1	turquoise
A16	6	7	1	turquoise
A17	7	7	1	turquoise
A18	8	8	1	turquoise
A20	6	7	1	turquoise
A22	4	9	1	turquoise
A24	9	10	1	turquoise
A25	10	10	1	turquoise
A26	11	11	1	turquoise
A27	12	12	1	turquoise
A28	11	13	1	turquoise
A29	13	14	1	turquoise
A30	9	10	1	turquoise
A31	14	15	1	turquoise
A32	10	10	1	turquoise
A33	10	10	1	turquoise
A34	10	10	1	turquoise
A36	10	10	1	turquoise
A39	15	16	1	turquoise
A40	3	17	0	grey
A41	3	17	0	grey
A42	16	16	1	turquoise
A43	16	16	1	turquoise
A44	17	18	1	turquoise
A45	17	18	1	turquoise
A47	17	18	1	turquoise
A48	17	18	1	turquoise
A49	18	19	1	turquoise
A51	17	18	1	turquoise
A52	19	20	0	grey
A53	20	17	0	grey
A54	21	21	0	grey
A55	21	21	0	grey
A57	22	22	1	turquoise
A59	13	14	1	turquoise
A60	22	11	1	turquoise
A61	22	11	1	turquoise
