OPCS1	OPCS2	embed_sim	embed_dist	chap_clinic1	chap_clinic2	naive_dist
A01	A01	1	2.22044604925031e-16	A Nerv Sys	A Nerv Sys	0
A02	A01	0.660752671696154	0.339247328303846	A Nerv Sys	A Nerv Sys	0.01
A03	A01	0.550993994317901	0.449006005682099	A Nerv Sys	A Nerv Sys	0.02
A04	A01	0.500863151841017	0.499136848158983	A Nerv Sys	A Nerv Sys	0.03
A05	A01	0.393753865579753	0.606246134420247	A Nerv Sys	A Nerv Sys	0.04
A06	A01	0.660752671696154	0.339247328303846	A Nerv Sys	A Nerv Sys	0.05
A07	A01	0.481785689659221	0.518214310340779	A Nerv Sys	A Nerv Sys	0.06
A08	A01	0.512274817770797	0.487725182229203	A Nerv Sys	A Nerv Sys	0.07
A09	A01	0.481424659614768	0.518575340385232	A Nerv Sys	A Nerv Sys	0.08
A10	A01	0.481785689659221	0.518214310340779	A Nerv Sys	A Nerv Sys	0.09
A11	A01	0.481785689659221	0.518214310340779	A Nerv Sys	A Nerv Sys	0.1
A12	A01	0.33943684897367	0.66056315102633	A Nerv Sys	A Nerv Sys	0.11
A13	A01	0.298007195039096	0.701992804960905	A Nerv Sys	A Nerv Sys	0.12
A14	A01	0.393320218639975	0.606679781360025	A Nerv Sys	A Nerv Sys	0.13
A16	A01	0.393320218639975	0.606679781360025	A Nerv Sys	A Nerv Sys	0.15
A17	A01	0.378699810374024	0.621300189625976	A Nerv Sys	A Nerv Sys	0.16
A18	A01	0.479333203817098	0.520666796182902	A Nerv Sys	A Nerv Sys	0.17
A20	A01	0.393320218639975	0.606679781360025	A Nerv Sys	A Nerv Sys	0.19
A22	A01	0.306200669039509	0.693799330960491	A Nerv Sys	A Nerv Sys	0.21
A24	A01	0.0869669511761276	0.913033048823872	A Nerv Sys	A Nerv Sys	0.23
A25	A01	0.133455220107748	0.866544779892252	A Nerv Sys	A Nerv Sys	0.24
A26	A01	0.232903880197472	0.767096119802528	A Nerv Sys	A Nerv Sys	0.25
A27	A01	0.0891616108769939	0.910838389123006	A Nerv Sys	A Nerv Sys	0.26
A28	A01	0.0835764799891082	0.916423520010892	A Nerv Sys	A Nerv Sys	0.27
A29	A01	0.310727561057199	0.689272438942801	A Nerv Sys	A Nerv Sys	0.28
A30	A01	0.106475890745988	0.893524109254012	A Nerv Sys	A Nerv Sys	0.29
A31	A01	0.172153489952188	0.827846510047812	A Nerv Sys	A Nerv Sys	0.3
A32	A01	0.147669745342554	0.852330254657446	A Nerv Sys	A Nerv Sys	0.31
A33	A01	0.118542299155304	0.881457700844696	A Nerv Sys	A Nerv Sys	0.32
A34	A01	0.125193550526048	0.874806449473952	A Nerv Sys	A Nerv Sys	0.33
A36	A01	0.0861041501577283	0.913895849842272	A Nerv Sys	A Nerv Sys	0.35
A39	A01	0.332590805101174	0.667409194898827	A Nerv Sys	A Nerv Sys	0.38
A40	A01	0.169858782125587	0.830141217874413	A Nerv Sys	A Nerv Sys	0.39
A41	A01	0.196716888783532	0.803283111216468	A Nerv Sys	A Nerv Sys	0.4
A42	A01	0.468946832852308	0.531053167147692	A Nerv Sys	A Nerv Sys	0.41
A43	A01	0.450227554332803	0.549772445667197	A Nerv Sys	A Nerv Sys	0.42
A44	A01	0.327069821087931	0.672930178912069	A Nerv Sys	A Nerv Sys	0.43
A45	A01	0.200561040651788	0.799438959348212	A Nerv Sys	A Nerv Sys	0.44
A47	A01	0.269285521347896	0.730714478652104	A Nerv Sys	A Nerv Sys	0.46
A48	A01	0.200561040651788	0.799438959348212	A Nerv Sys	A Nerv Sys	0.47
A49	A01	0.216038929347548	0.783961070652452	A Nerv Sys	A Nerv Sys	0.48
A51	A01	0.246628436216967	0.753371563783033	A Nerv Sys	A Nerv Sys	0.5
A52	A01	0.0760627362609491	0.923937263739051	A Nerv Sys	A Nerv Sys	0.51
A53	A01	0.0835733649357758	0.916426635064224	A Nerv Sys	A Nerv Sys	0.52
A54	A01	0.109856865324174	0.890143134675826	A Nerv Sys	A Nerv Sys	0.53
A55	A01	0.126276434453773	0.873723565546227	A Nerv Sys	A Nerv Sys	0.54
A57	A01	0.0995719425224817	0.900428057477518	A Nerv Sys	A Nerv Sys	0.56
A59	A01	0.21326488333477	0.78673511666523	A Nerv Sys	A Nerv Sys	0.58
A60	A01	0.125901685172278	0.874098314827722	A Nerv Sys	A Nerv Sys	0.59
A61	A01	0.177006693499039	0.822993306500961	A Nerv Sys	A Nerv Sys	0.6
A01	A02	0.660752671696154	0.339247328303846	A Nerv Sys	A Nerv Sys	0.01
A02	A02	1	0	A Nerv Sys	A Nerv Sys	0
A03	A02	0.565518220475674	0.434481779524326	A Nerv Sys	A Nerv Sys	0.01
A04	A02	0.450471578403771	0.549528421596229	A Nerv Sys	A Nerv Sys	0.02
A05	A02	0.375419722667455	0.624580277332545	A Nerv Sys	A Nerv Sys	0.03
A06	A02	1	0	A Nerv Sys	A Nerv Sys	0.04
A07	A02	0.629056318617009	0.370943681382991	A Nerv Sys	A Nerv Sys	0.05
A08	A02	0.647813528909537	0.352186471090463	A Nerv Sys	A Nerv Sys	0.06
A09	A02	0.388142324578319	0.611857675421681	A Nerv Sys	A Nerv Sys	0.07
A10	A02	0.629056318617009	0.370943681382991	A Nerv Sys	A Nerv Sys	0.08
A11	A02	0.629056318617009	0.370943681382991	A Nerv Sys	A Nerv Sys	0.09
A12	A02	0.372632391268707	0.627367608731293	A Nerv Sys	A Nerv Sys	0.1
A13	A02	0.30638562314867	0.69361437685133	A Nerv Sys	A Nerv Sys	0.11
A14	A02	0.487937899939382	0.512062100060618	A Nerv Sys	A Nerv Sys	0.12
A16	A02	0.487937899939382	0.512062100060618	A Nerv Sys	A Nerv Sys	0.14
A17	A02	0.376850117535545	0.623149882464455	A Nerv Sys	A Nerv Sys	0.15
A18	A02	0.418007662639176	0.581992337360824	A Nerv Sys	A Nerv Sys	0.16
A20	A02	0.487937899939382	0.512062100060618	A Nerv Sys	A Nerv Sys	0.18
A22	A02	0.367835663356689	0.632164336643311	A Nerv Sys	A Nerv Sys	0.2
A24	A02	0.113690694946861	0.886309305053139	A Nerv Sys	A Nerv Sys	0.22
A25	A02	0.191568444958683	0.808431555041317	A Nerv Sys	A Nerv Sys	0.23
A26	A02	0.34137418203541	0.65862581796459	A Nerv Sys	A Nerv Sys	0.24
A27	A02	0.134777697510176	0.865222302489824	A Nerv Sys	A Nerv Sys	0.25
A28	A02	0.127078124968544	0.872921875031456	A Nerv Sys	A Nerv Sys	0.26
A29	A02	0.403879975045968	0.596120024954032	A Nerv Sys	A Nerv Sys	0.27
A30	A02	0.172245247171792	0.827754752828208	A Nerv Sys	A Nerv Sys	0.28
A31	A02	0.19121215449279	0.80878784550721	A Nerv Sys	A Nerv Sys	0.29
A32	A02	0.217268529986155	0.782731470013845	A Nerv Sys	A Nerv Sys	0.3
A33	A02	0.159475844230558	0.840524155769442	A Nerv Sys	A Nerv Sys	0.31
A34	A02	0.154302091806123	0.845697908193877	A Nerv Sys	A Nerv Sys	0.32
A36	A02	0.160442357899272	0.839557642100728	A Nerv Sys	A Nerv Sys	0.34
A39	A02	0.30913475019332	0.69086524980668	A Nerv Sys	A Nerv Sys	0.37
A40	A02	0.24711647105892	0.75288352894108	A Nerv Sys	A Nerv Sys	0.38
A41	A02	0.274870561332119	0.725129438667881	A Nerv Sys	A Nerv Sys	0.39
A42	A02	0.52021136365739	0.47978863634261	A Nerv Sys	A Nerv Sys	0.4
A43	A02	0.520402894416177	0.479597105583823	A Nerv Sys	A Nerv Sys	0.41
A44	A02	0.382372737475647	0.617627262524353	A Nerv Sys	A Nerv Sys	0.42
A45	A02	0.258269008062004	0.741730991937996	A Nerv Sys	A Nerv Sys	0.43
A47	A02	0.350086057303654	0.649913942696346	A Nerv Sys	A Nerv Sys	0.45
A48	A02	0.258269008062004	0.741730991937996	A Nerv Sys	A Nerv Sys	0.46
A49	A02	0.210570769122868	0.789429230877132	A Nerv Sys	A Nerv Sys	0.47
A51	A02	0.266893374556745	0.733106625443255	A Nerv Sys	A Nerv Sys	0.49
A52	A02	0.0170503158124393	0.982949684187561	A Nerv Sys	A Nerv Sys	0.5
A53	A02	0.108821299285284	0.891178700714716	A Nerv Sys	A Nerv Sys	0.51
A54	A02	0.105861876998005	0.894138123001995	A Nerv Sys	A Nerv Sys	0.52
A55	A02	0.130561662797372	0.869438337202628	A Nerv Sys	A Nerv Sys	0.53
A57	A02	0.165555239830701	0.834444760169299	A Nerv Sys	A Nerv Sys	0.55
A59	A02	0.229682939468549	0.770317060531451	A Nerv Sys	A Nerv Sys	0.57
