embed_sim	embed_dist	chap_clinic1	chap_clinic2	naive_dist	OPCS1	OPCS2
0.704980472266172	0.295019527733828	A Nerv Sys	A Nerv Sys	0.01	A01	A02
0.609531074545875	0.390468925454125	A Nerv Sys	A Nerv Sys	0.02	A01	A03
0.565935808677833	0.434064191322167	A Nerv Sys	A Nerv Sys	0.03	A01	A04
0.472790399967632	0.527209600032368	A Nerv Sys	A Nerv Sys	0.04	A01	A05
0.704980472266172	0.295019527733828	A Nerv Sys	A Nerv Sys	0.05	A01	A06
0.549345482347562	0.450654517652438	A Nerv Sys	A Nerv Sys	0.06	A01	A07
0.575859731469185	0.424140268530815	A Nerv Sys	A Nerv Sys	0.07	A01	A08
0.549031519924498	0.450968480075502	A Nerv Sys	A Nerv Sys	0.08	A01	A09
0.549345482347562	0.450654517652438	A Nerv Sys	A Nerv Sys	0.09	A01	A10
0.549345482347562	0.450654517652438	A Nerv Sys	A Nerv Sys	0.1	A01	A11
0.42555471305108	0.57444528694892	A Nerv Sys	A Nerv Sys	0.11	A01	A12
0.389526258533652	0.610473741466348	A Nerv Sys	A Nerv Sys	0.12	A01	A13
0.472413287740938	0.527586712259062	A Nerv Sys	A Nerv Sys	0.13	A01	A14
0.472413287740938	0.527586712259062	A Nerv Sys	A Nerv Sys	0.15	A01	A16
0.459698947547127	0.540301052452873	A Nerv Sys	A Nerv Sys	0.16	A01	A17
0.547212727998295	0.452787272001705	A Nerv Sys	A Nerv Sys	0.17	A01	A18
0.472413287740938	0.527586712259062	A Nerv Sys	A Nerv Sys	0.19	A01	A20
0.396651546276335	0.603348453723665	A Nerv Sys	A Nerv Sys	0.21	A01	A22
0.205999409881447	0.794000590118553	A Nerv Sys	A Nerv Sys	0.23	A01	A24
0.246426985874282	0.753573014125718	A Nerv Sys	A Nerv Sys	0.24	A01	A25
0.332910487100723	0.667089512899277	A Nerv Sys	A Nerv Sys	0.25	A01	A26
0.20790795097954	0.79209204902046	A Nerv Sys	A Nerv Sys	0.26	A01	A27
0.203050955686124	0.796949044313876	A Nerv Sys	A Nerv Sys	0.27	A01	A28
0.400588265695286	0.599411734304714	A Nerv Sys	A Nerv Sys	0.28	A01	A29
0.222964961731964	0.777035038268036	A Nerv Sys	A Nerv Sys	0.29	A01	A30
0.280080147862923	0.719919852137077	A Nerv Sys	A Nerv Sys	0.3	A01	A31
0.258788358158921	0.741211641841079	A Nerv Sys	A Nerv Sys	0.31	A01	A32
0.233458267981885	0.766541732018115	A Nerv Sys	A Nerv Sys	0.32	A01	A33
