OPCS	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
A01	1	1	2	blue
A02	1	1	2	blue
A03	1	1	2	blue
A04	1	1	2	blue
A05	2	2	2	blue
A06	1	1	2	blue
A07	1	1	2	blue
A08	1	1	2	blue
A09	3	1	2	blue
A10	1	1	2	blue
A11	1	1	2	blue
A12	1	3	2	blue
A13	1	3	2	blue
A14	1	3	2	blue
A16	1	3	2	blue
A17	1	3	2	blue
A18	1	3	2	blue
A20	1	3	2	blue
A22	1	3	2	blue
A24	4	4	2	blue
A25	4	4	2	blue
A26	4	4	2	blue
A27	4	5	2	blue
A28	4	4	2	blue
A29	4	4	2	blue
A30	4	4	2	blue
A31	4	4	2	blue
A32	4	4	2	blue
A33	3	4	2	blue
A34	4	4	2	blue
A36	4	4	2	blue
A39	1	1	2	blue
A40	2	2	2	blue
A41	2	2	2	blue
A42	1	1	2	blue
A43	1	1	2	blue
A44	5	6	2	blue
A45	5	6	2	blue
A47	5	6	2	blue
A48	5	6	2	blue
A49	5	6	2	blue
A51	5	6	2	blue
A52	2	2	2	blue
A53	2	2	2	blue
A54	2	2	2	blue
A55	2	2	2	blue
A57	4	5	2	blue
A59	4	5	2	blue
A60	4	5	2	blue
A61	4	5	2	blue
A62	4	5	2	blue
A63	4	5	2	blue
A64	4	5	2	blue
A65	4	5	2	blue
A66	4	5	2	blue
A67	4	5	2	blue
A68	4	5	2	blue
A69	4	5	2	blue
A70	3	5	2	blue
A73	4	5	2	blue
A75	4	7	2	blue
A76	4	7	2	blue
A77	4	7	2	blue
A78	4	7	2	blue
A79	4	7	2	blue
A82	3	1	2	blue
A83	1	1	2	blue
A84	3	1	2	blue
B01	6	1	1	turquoise
B02	6	1	1	turquoise
B04	6	1	1	turquoise
B06	6	1	1	turquoise
B08	6	8	1	turquoise
B09	6	8	1	turquoise
B10	6	8	1	turquoise
B12	6	8	1	turquoise
B14	6	8	1	turquoise
B16	6	8	1	turquoise
B17	7	9	1	turquoise
B18	7	9	1	turquoise
B20	7	9	1	turquoise
B22	8	10	1	turquoise
B23	8	10	1	turquoise
B25	8	10	1	turquoise
B27	9	11	0	grey
B28	9	11	0	grey
B29	9	11	0	grey
B30	10	11	0	grey
B31	9	11	0	grey
B32	9	11	0	grey
B33	9	11	0	grey
B34	9	11	0	grey
B35	9	11	0	grey
B36	9	11	0	grey
B37	9	11	0	grey
B38	9	11	0	grey
B39	9	11	0	grey
B40	9	11	0	grey
B41	9	11	0	grey
C01	11	12	3	brown
C03	12	13	3	brown
C04	12	13	3	brown
C05	13	14	1	turquoise
C08	13	14	1	turquoise
C09	14	15	1	turquoise
C10	13	15	1	turquoise
C11	14	15	1	turquoise
C12	14	15	1	turquoise
C13	14	15	1	turquoise
C14	14	15	1	turquoise
C15	14	15	1	turquoise
C16	14	15	1	turquoise
C17	14	15	1	turquoise
C18	14	15	1	turquoise
C19	14	15	1	turquoise
C20	14	15	1	turquoise
C22	14	15	1	turquoise
C23	14	15	1	turquoise
C24	15	16	1	turquoise
C25	15	16	1	turquoise
C26	15	16	1	turquoise
C27	15	16	1	turquoise
C29	15	16	1	turquoise
C31	16	14	1	turquoise
C32	16	14	1	turquoise
C34	16	14	1	turquoise
C35	16	14	1	turquoise
C37	16	14	1	turquoise
C39	11	17	3	brown
C40	11	17	3	brown
C41	11	17	3	brown
C43	11	17	3	brown
C44	11	17	3	brown
C45	11	17	3	brown
C46	11	17	3	brown
C47	11	17	3	brown
C48	11	17	3	brown
C49	11	17	3	brown
C51	11	17	3	brown
C52	11	18	3	brown
C53	11	18	3	brown
C54	17	18	3	brown
C55	11	18	3	brown
C57	11	18	3	brown
C59	11	12	3	brown
C60	11	18	3	brown
C61	11	18	3	brown
C62	11	12	3	brown
C64	11	12	3	brown
C66	11	12	3	brown
C67	11	12	3	brown
C69	11	12	3	brown
C71	12	13	3	brown
C72	12	13	3	brown
C73	12	13	3	brown
C74	12	13	3	brown
C75	18	12	3	brown
C77	12	13	3	brown
C79	17	19	3	brown
C80	19	19	1	turquoise
C81	17	19	3	brown
C82	17	19	3	brown
C83	17	19	3	brown
C84	17	19	3	brown
C85	17	19	3	brown
C86	11	18	3	brown
C87	17	19	3	brown
C88	11	12	3	brown
C89	17	19	3	brown
C90	12	12	3	brown
D01	20	20	1	turquoise
D04	20	20	1	turquoise
D05	20	20	1	turquoise
D06	20	20	1	turquoise
D07	20	20	1	turquoise
D08	20	20	1	turquoise
D10	21	21	1	turquoise
D12	21	21	1	turquoise
D13	20	21	1	turquoise
D14	21	21	1	turquoise
D15	21	21	1	turquoise
D16	21	21	1	turquoise
D17	21	21	1	turquoise
D19	21	21	1	turquoise
D22	21	21	1	turquoise
D24	21	21	1	turquoise
D26	21	21	1	turquoise
E01	22	22	1	turquoise
E02	22	22	1	turquoise
E03	22	22	1	turquoise
E04	22	22	1	turquoise
E05	22	22	1	turquoise
E06	22	22	1	turquoise
E07	22	22	1	turquoise
E08	22	22	1	turquoise
E09	22	22	1	turquoise
E10	22	22	1	turquoise
E12	13	22	1	turquoise
E13	13	22	1	turquoise
E14	13	22	1	turquoise
